Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
North Carolina A&T,33,11_5,20_15,96.8,111.9,19.5,18,54.3,52.5,30.3,33.1,37.5,31.5,323
North Carolina Central,32,9_7,19_16,95,110.3,20.8,16.8,51.3,48.1,32.3,32.8,30.3,34.3,324
Cal St. Northridge,28,3_13,6_24,97.3,113.2,18.3,16.4,45.9,51.7,34.7,36.3,28.3,32.8,325
Houston Baptist,28,2_16,6_25,99.2,115.4,18.8,18.8,44.4,54.2,32.8,39.7,35.5,38.6,326
Morgan St.,30,7_9,13_19,95.4,111.2,18.7,20.5,44.8,51.9,32,34.6,39.3,41.7,327
Southern,31,10_8,15_18,93.5,109.4,19.3,17.4,42.3,47.1,33.2,34.5,41.5,37.6,328
USC Upstate,28,2_12,7_25,105.1,123,16.1,15,49.3,56.7,34.1,43.1,21.6,36.1,329
Maine,30,3_13,6_26,91,107.2,21.8,18.1,47.1,51.3,29.6,34.4,29.2,36.7,330
Cal Poly,29,4_12,9_22,96.3,113.6,17.4,16.3,41.5,49.8,35.8,40.1,26.7,34.6,331
Northern Arizona,30,2_16,5_27,92.2,108.9,22,19,44.5,52.6,30.5,39.4,42.6,37,332
Arkansas Pine Bluff,35,12_6,14_21,92.7,110.2,20.6,22.7,49.7,49.1,32.9,32.9,36.6,44.7,333
Presbyterian,29,4_14,11_21,96.5,115.3,18.8,17.8,46.8,55.5,34.6,36.7,28,29.3,334
VMI,28,4_14,9_21,89.3,106.7,21.4,18.8,43.7,52.1,32.3,34.6,27.7,34.2,335
Incarnate Word,24,2_16,7_21,94.5,113.9,23.2,17.7,45.4,50.6,34.6,37.6,41.1,33.8,336
Alcorn St.,28,7_11,11_21,94.4,114.4,20.8,17.9,47.8,50.4,32.7,36.3,33.7,40.1,337
Jackson St.,30,9_9,12_20,89.2,108.2,17.3,21.4,39.3,51.5,32.8,34.9,24.9,46.6,338
Howard,31,7_9,10_23,98.4,119.4,18,18.8,46.7,53.7,34.9,35.3,34.5,38.3,339
Bryant,31,2_16,3_28,98.3,119.8,18.2,17.9,45.5,55.4,34.4,40.5,27.8,33,340
Longwood,30,3_15,7_26,89.4,109.2,23,17.6,45.8,53.2,31.5,34.1,35.3,34.2,341
Alabama St.,31,8_10,8_23,94.3,115.9,19.9,18.3,45.2,49.4,32.8,37.7,35.2,46.6,342
South Carolina St.,30,6_10,10_22,96.1,119.2,18.5,18.9,45.7,57.8,32.7,36.3,35.9,33.6,343
Chicago St.,30,1_13,3_29,94.9,118,20.9,18.2,43.6,57.9,31.4,40.6,31.6,41.2,344
Northwestern St.,25,1_17,4_25,88.2,109.9,24.7,19.1,44.9,53.1,28.3,37.2,33.2,40.1,345
Florida A&M,33,7_9,9_25,94.2,117.7,19.5,18.7,44.8,54.4,35.1,34.8,32.1,36.2,346
Coppin St.,32,5_11,5_27,86.2,109.7,20.5,17.9,41,48.3,30.5,33.7,27.1,37.6,347
Mississippi Valley St.,32,4_14,4_28,89.6,114.5,19.1,19.6,41.6,54.6,30.1,36.8,29.1,39.2,348
Maryland Eastern Shore,30,3_13,7_25,90.1,117.5,19.4,16,44.3,54.3,27.5,36.8,29.7,31.8,349
Alabama A&M,31,3_15,3_28,87.6,115,24.2,16.6,44.8,52.3,30.3,38.4,31.4,29.8,350
Delaware St.,30,2_14,4_28,90.3,119.2,22.8,18.2,46.1,53.8,33.2,38.9,28.5,35.7,351
