Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Drake,31,7_11,13_18,100.6,101.9,18.5,20.1,46.8,50.6,35.4,32.8,38.1,36.2
Bradley,31,4_14,11_20,100.4,101.7,18.3,19.3,45.8,49.1,34.0,33.8,33.0,38.3
Northeastern,31,6_12,11_20,107.5,109.0,19.8,19.8,47.8,51.1,37.9,39.4,35.8,42.9
Miami OH,32,11_5,15_17,104.1,105.6,21.5,16.3,48.4,47.9,34.9,37.6,36.3,32.0
North Texas,31,8_8,20_11,106.5,108.3,19.5,16.1,52.0,48.8,37.3,33.2,50.0,35.7
Lipscomb,29,12_8,16_13,103.6,105.4,21.4,20.0,51.7,50.6,33.1,32.7,40.5,39.0
Fresno St.,30,6_10,13_17,100.1,101.9,20.3,20.4,49.6,47.8,29.5,36.4,39.4,39.5
Southern Illinois,32,5_13,13_19,96.8,98.7,22.2,19.2,46.6,46.3,32.1,36.5,38.4,42.4
Penn,28,7_7,13_15,101.1,103.0,21.2,21.1,50.1,51.6,36.9,36.1,37.8,33.3
Florida Atlantic,30,13_3,19_11,101.5,103.6,17.4,19.3,48.7,46.5,32.3,35.0,39.5,39.8
LSU,32,3_13,11_21,95.6,97.5,21.7,20.0,44.2,45.3,31.2,32.8,37.6,40.0
Canisius,30,9_9,15_15,101.5,103.8,20.5,20.2,47.0,44.6,34.9,34.0,27.4,39.4
Stephen F. Austin,25,9_7,14_11,95.8,98.2,22.7,23.4,49.0,50.7,31.4,29.3,34.8,35.2
Saint Joseph's,33,4_12,11_22,104.4,107.4,17.1,16.7,46.3,47.0,32.8,36.7,34.0,34.8
Delaware,31,8_10,14_17,99.1,101.9,18.6,15.0,44.9,46.6,34.9,30.8,40.2,41.6
Loyola Marymount,30,2_12,9_21,100.5,103.4,20.0,18.1,46.1,47.3,32.4,34.6,37.5,37.3
UTSA,31,9_7,17_14,101.4,104.4,19.7,19.9,46.5,48.0,35.7,33.9,41.1,36.5
Yale,27,8_6,14_13,97.8,100.8,20.3,17.5,48.5,45.0,34.2,34.8,39.6,36.2
Cornell,28,6_8,10_18,103.5,106.7,18.2,20.7,44.8,51.2,37.4,34.4,31.1,44.2
Columbia,27,6_8,14_13,99.9,103.1,18.3,18.5,46.3,49.1,34.1,36.8,36.4,39.5
Loyola MD,30,10_8,15_15,101.3,104.5,19.9,20.3,45.3,48.5,33.9,33.8,37.2,39.8
Middle Tennessee,31,10_6,15_16,95.6,98.7,22.4,24.3,45.9,47.1,34.2,35.2,48.2,57.5
William & Mary,30,4_14,9_21,102.5,105.8,20.5,15.5,51.0,48.6,35.6,35.8,36.0,29.6
McNeese St.,29,11_5,17_12,103.9,107.3,18.2,19.8,46.6,49.1,35.1,33.9,39.0,43.2
Tulane,27,3_13,10_17,100.4,103.7,19.2,23.0,46.5,51.5,35.6,35.4,35.9,38.2
Lehigh,31,6_8,16_15,100.7,104.0,18.0,20.7,45.5,46.2,32.8,36.1,46.4,38.1
Denver,30,9_7,13_17,98.0,101.3,20.8,23.4,49.5,47.1,40.1,40.9,38.1,62.3
