Name_LowerRank,GamesPlayed_LowerRank,ConfRecord_LowerRank,TotalRecord_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,2PFGOff_LowerRank,2PFGDef_LowerRank,3PFGOff_LowerRank,3PFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Name_HigherRank,GamesPlayed_HigherRank,ConfRecord_HigherRank,TotalRecord_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,2PFGOff_HigherRank,2PFGDef_HigherRank,3PFGOff_HigherRank,3PFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Long Beach St.,32,9_7,15_19,104.3,107.9,19.9,18.6,47.0,51.3,35.1,37.9,36.2,37.7,204,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,26, 93_67 ,17.1
Hawaii,29,8_8,14_16,96.6,103.6,20.3,20.3,48.6,50.9,32.1,33.8,36.9,38.3,243,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,15, 83_68 ,7.3
Oklahoma St.,32,9_9,20_13,126.8,102.3,18.2,20.3,50.4,52.4,40.3,36.4,37.4,45.4,21,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,32, 107_75 ,14.8
Wisconsin,37,12_6,27_10,114.5,92.0,17.0,19.5,51.1,43.1,35.9,37.6,32.9,28.0,19,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,15, 71_56 ,8.7
Indiana,34,7_11,18_16,115.4,99.9,21.4,15.7,54.1,47.7,38.0,33.7,34.1,36.8,43,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-9, 76_67 ,-9.8
Radford,30,8_10,14_18,95.0,107.6,22.4,15.1,44.6,49.9,34.6,35.9,29.5,30.0,308,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,45, 95_50 ,19.0
Davidson,32,8_10,17_15,108.8,98.6,17.4,17.1,51.9,45.8,34.1,38.1,31.5,33.4,74,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,9, 83_74 ,6.1
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46.0,46.2,32.4,35.5,42.9,43.3,55,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,2, 73_71 ,-4.2
Kentucky,38,16_2,32_6,118.3,91.3,15.7,19.2,52.9,48.3,35.3,30.6,40.9,33.5,5,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-3, 103_100 ,-4.4
Northern Iowa,29,9_9,14_16,96.8,96.6,17.3,20.9,45.3,47.6,32.3,36.8,34.2,26.0,162,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,43, 85_42 ,7.6
Monmouth,34,18_2,27_7,106.7,99.5,16.7,19.5,47.6,45.1,37.3,33.4,37.3,35.7,88,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,28, 102_74 ,14.3
Georgia Tech,36,8_10,21_16,99.4,90.6,19.3,18.8,46.9,43.9,32.5,33.1,35.8,27.4,77,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-12, 75_63 ,-0.8
Clemson,33,6_12,17_16,115.3,98.9,15.8,20.1,49.8,51.0,35.7,35.6,34.3,24.1,40,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,3, 89_86 OT,-0.3
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,51, 107_56 ,22.8
Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,6, 93_87 ,5.5
Florida St.,35,12_6,26_9,115.4,95.2,16.4,19.5,54.4,45.4,34.7,34.9,38.4,37.3,27,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,13, 96_83 ,5.3
Syracuse,34,10_8,19_15,116.2,100.6,18.0,19.7,51.3,49.6,37.9,34.3,35.1,29.2,45,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,17, 85_68 ,7.4
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,8, 90_82 ,4.1
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49.0,40.3,36.3,40.9,27.3,44,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,19, 91_72 ,11.2
Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-15, 77_62 ,-11.2
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,2, 80_78 ,4.6
Notre Dame,36,12_6,26_10,119.3,96.4,14.0,18.7,50.9,48.2,38.4,33.8,28.6,26.7,22,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,7, 83_76 ,6.3
Duke,37,11_7,28_9,122.1,95.6,16.3,17.3,53.5,48.9,37.9,29.3,39.3,31.2,10,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-8, 86_78 ,-0.5
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,24, 97_73 ,12.5
Virginia,34,11_7,23_11,111.8,86.9,15.6,20.7,49.7,45.1,38.5,31.7,26.0,33.8,7,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,24, 65_41 ,9.4
Louisville,34,12_6,25_9,117.6,91.5,16.0,19.6,50.5,44.8,35.5,31.6,34.0,38.8,9,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,11, 74_63 ,3.9
